time,latitude,longitude,CHL
2016-04-25,-31.897223,115.68612,
2016-04-26,-31.897223,115.68612,1.1779768
2016-04-27,-31.897223,115.68612,
2016-04-28,-31.897223,115.68612,
2016-04-29,-31.897223,115.68612,
2016-04-30,-31.897223,115.68612,
2016-05-01,-31.897223,115.68612,
2016-05-02,-31.897223,115.68612,
2016-05-03,-31.897223,115.68612,
2016-05-04,-31.897223,115.68612,
2016-05-05,-31.897223,115.68612,
2016-05-06,-31.897223,115.68612,
2016-05-07,-31.897223,115.68612,
2016-05-08,-31.897223,115.68612,1.3930722
2016-05-09,-31.897223,115.68612,
2016-05-10,-31.897223,115.68612,
2016-05-11,-31.897223,115.68612,1.13393
2016-05-12,-31.897223,115.68612,0.7769556
2016-05-13,-31.897223,115.68612,
2016-05-14,-31.897223,115.68612,
2016-05-15,-31.897223,115.68612,1.2714955
2016-05-16,-31.897223,115.68612,
2016-05-17,-31.897223,115.68612,
2016-05-18,-31.897223,115.68612,
2016-05-19,-31.897223,115.68612,
2016-05-20,-31.897223,115.68612,0.9909831
2016-05-21,-31.897223,115.68612,
2016-05-22,-31.897223,115.68612,
2016-05-23,-31.897223,115.68612,4.411117
2016-05-24,-31.897223,115.68612,
2016-05-25,-31.897223,115.68612,
2016-05-26,-31.897223,115.68612,
2016-05-27,-31.897223,115.68612,
2016-05-28,-31.897223,115.68612,
2016-05-29,-31.897223,115.68612,
2016-05-30,-31.897223,115.68612,1.7004658
2016-05-31,-31.897223,115.68612,1.8193367
2016-06-01,-31.897223,115.68612,
2016-06-02,-31.897223,115.68612,
2016-06-03,-31.897223,115.68612,
2016-06-04,-31.897223,115.68612,
2016-06-05,-31.897223,115.68612,
2016-06-06,-31.897223,115.68612,
2016-06-07,-31.897223,115.68612,
2016-06-08,-31.897223,115.68612,2.8026903
2016-06-09,-31.897223,115.68612,
2016-06-10,-31.897223,115.68612,
2016-06-11,-31.897223,115.68612,
2016-06-12,-31.897223,115.68612,
2016-06-13,-31.897223,115.68612,
2016-06-14,-31.897223,115.68612,0.97533166
2016-06-15,-31.897223,115.68612,
2016-06-16,-31.897223,115.68612,
2016-06-17,-31.897223,115.68612,
2016-06-18,-31.897223,115.68612,0.75620973
2016-06-19,-31.897223,115.68612,
2016-06-20,-31.897223,115.68612,
2016-06-21,-31.897223,115.68612,
2016-06-22,-31.897223,115.68612,
2016-06-23,-31.897223,115.68612,
2016-06-24,-31.897223,115.68612,
2016-06-25,-31.897223,115.68612,
2016-06-26,-31.897223,115.68612,0.7285657
2016-06-27,-31.897223,115.68612,1.220727
2016-06-28,-31.897223,115.68612,
2016-06-29,-31.897223,115.68612,
2016-06-30,-31.897223,115.68612,0.698106
2016-07-01,-31.897223,115.68612,0.79416233
2016-07-02,-31.897223,115.68612,
2016-07-03,-31.897223,115.68612,
2016-07-04,-31.897223,115.68612,
2016-07-05,-31.897223,115.68612,
2016-07-06,-31.897223,115.68612,
2016-07-07,-31.897223,115.68612,
2016-07-08,-31.897223,115.68612,0.4587933
2016-07-09,-31.897223,115.68612,
2016-07-10,-31.897223,115.68612,
2016-07-11,-31.897223,115.68612,1.0590733
2016-07-12,-31.897223,115.68612,
2016-07-13,-31.897223,115.68612,1.775149
2016-07-14,-31.897223,115.68612,
2016-07-15,-31.897223,115.68612,
2016-07-16,-31.897223,115.68612,
2016-07-17,-31.897223,115.68612,
2016-07-18,-31.897223,115.68612,
2016-07-19,-31.897223,115.68612,0.80324644
2016-07-20,-31.897223,115.68612,0.6482233
2016-07-21,-31.897223,115.68612,
2016-07-22,-31.897223,115.68612,
2016-07-23,-31.897223,115.68612,
2016-07-24,-31.897223,115.68612,0.63250595
2016-07-25,-31.897223,115.68612,
2016-07-26,-31.897223,115.68612,
2016-07-27,-31.897223,115.68612,
2016-07-28,-31.897223,115.68612,
2016-07-29,-31.897223,115.68612,
2016-07-30,-31.897223,115.68612,
2016-07-31,-31.897223,115.68612,1.9246594
2016-08-01,-31.897223,115.68612,1.6572974
2016-08-02,-31.897223,115.68612,
2016-08-03,-31.897223,115.68612,
2016-08-04,-31.897223,115.68612,
2016-08-05,-31.897223,115.68612,
2016-08-06,-31.897223,115.68612,
2016-08-07,-31.897223,115.68612,0.9027461
2016-08-08,-31.897223,115.68612,1.2856345
2016-08-09,-31.897223,115.68612,
2016-08-10,-31.897223,115.68612,
2016-08-11,-31.897223,115.68612,
2016-08-12,-31.897223,115.68612,
2016-08-13,-31.897223,115.68612,
2016-08-14,-31.897223,115.68612,
2016-08-15,-31.897223,115.68612,0.31708467
2016-08-16,-31.897223,115.68612,0.34201375
2016-08-17,-31.897223,115.68612,
2016-08-18,-31.897223,115.68612,
2016-08-19,-31.897223,115.68612,
2016-08-20,-31.897223,115.68612,
2016-08-21,-31.897223,115.68612,
2016-08-22,-31.897223,115.68612,
2016-08-23,-31.897223,115.68612,0.6478789
2016-08-24,-31.897223,115.68612,0.65896
2016-08-25,-31.897223,115.68612,
2016-08-26,-31.897223,115.68612,
2016-08-27,-31.897223,115.68612,
2016-08-28,-31.897223,115.68612,
2016-08-29,-31.897223,115.68612,
2016-08-30,-31.897223,115.68612,
2016-08-31,-31.897223,115.68612,
2016-09-01,-31.897223,115.68612,
2016-09-02,-31.897223,115.68612,
2016-09-03,-31.897223,115.68612,0.6410171
2016-09-04,-31.897223,115.68612,
2016-09-05,-31.897223,115.68612,0.80922633
2016-09-06,-31.897223,115.68612,
2016-09-07,-31.897223,115.68612,
2016-09-08,-31.897223,115.68612,
2016-09-09,-31.897223,115.68612,
2016-09-10,-31.897223,115.68612,
2016-09-11,-31.897223,115.68612,0.6181598
2016-09-12,-31.897223,115.68612,0.7629389
2016-09-13,-31.897223,115.68612,
2016-09-14,-31.897223,115.68612,
2016-09-15,-31.897223,115.68612,1.2706455
2016-09-16,-31.897223,115.68612,1.7631938
2016-09-17,-31.897223,115.68612,
2016-09-18,-31.897223,115.68612,
2016-09-19,-31.897223,115.68612,
2016-09-20,-31.897223,115.68612,
2016-09-21,-31.897223,115.68612,
2016-09-22,-31.897223,115.68612,
2016-09-23,-31.897223,115.68612,1.0724833
2016-09-24,-31.897223,115.68612,1.0173254
2016-09-25,-31.897223,115.68612,
2016-09-26,-31.897223,115.68612,
2016-09-27,-31.897223,115.68612,
2016-09-28,-31.897223,115.68612,1.760204
2016-09-29,-31.897223,115.68612,
2016-09-30,-31.897223,115.68612,
2016-10-01,-31.897223,115.68612,
2016-10-02,-31.897223,115.68612,
2016-10-03,-31.897223,115.68612,
2016-10-04,-31.897223,115.68612,
2016-10-05,-31.897223,115.68612,0.5124455
2016-10-06,-31.897223,115.68612,
2016-10-07,-31.897223,115.68612,
2016-10-08,-31.897223,115.68612,
2016-10-09,-31.897223,115.68612,
2016-10-10,-31.897223,115.68612,
2016-10-11,-31.897223,115.68612,
2016-10-12,-31.897223,115.68612,0.44303554
2016-10-13,-31.897223,115.68612,
2016-10-14,-31.897223,115.68612,
2016-10-15,-31.897223,115.68612,
2016-10-16,-31.897223,115.68612,
2016-10-17,-31.897223,115.68612,
2016-10-18,-31.897223,115.68612,
2016-10-19,-31.897223,115.68612,
2016-10-20,-31.897223,115.68612,0.8028379
2016-10-21,-31.897223,115.68612,0.820932
2016-10-22,-31.897223,115.68612,
2016-10-23,-31.897223,115.68612,
2016-10-24,-31.897223,115.68612,
2016-10-25,-31.897223,115.68612,0.52535075
2016-10-26,-31.897223,115.68612,
2016-10-27,-31.897223,115.68612,
2016-10-28,-31.897223,115.68612,0.41380358
2016-10-29,-31.897223,115.68612,
2016-10-30,-31.897223,115.68612,
2016-10-31,-31.897223,115.68612,0.48422253
2016-11-01,-31.897223,115.68612,0.78590554
2016-11-02,-31.897223,115.68612,
2016-11-03,-31.897223,115.68612,
2016-11-04,-31.897223,115.68612,
2016-11-05,-31.897223,115.68612,0.7359092
2016-11-06,-31.897223,115.68612,
2016-11-07,-31.897223,115.68612,
2016-11-08,-31.897223,115.68612,0.6446317
2016-11-09,-31.897223,115.68612,0.5226281
2016-11-10,-31.897223,115.68612,
2016-11-11,-31.897223,115.68612,
2016-11-12,-31.897223,115.68612,0.5365589
2016-11-13,-31.897223,115.68612,0.39567372
2016-11-14,-31.897223,115.68612,
2016-11-15,-31.897223,115.68612,
2016-11-16,-31.897223,115.68612,
2016-11-17,-31.897223,115.68612,0.43413988
2016-11-18,-31.897223,115.68612,
2016-11-19,-31.897223,115.68612,
2016-11-20,-31.897223,115.68612,0.62607634
2016-11-21,-31.897223,115.68612,
2016-11-22,-31.897223,115.68612,
2016-11-23,-31.897223,115.68612,
2016-11-24,-31.897223,115.68612,0.51707625
2016-11-25,-31.897223,115.68612,0.43305048
2016-11-26,-31.897223,115.68612,
2016-11-27,-31.897223,115.68612,
2016-11-28,-31.897223,115.68612,0.41632602
2016-11-29,-31.897223,115.68612,
2016-11-30,-31.897223,115.68612,
2016-12-01,-31.897223,115.68612,
2016-12-02,-31.897223,115.68612,0.49655053
2016-12-03,-31.897223,115.68612,
2016-12-04,-31.897223,115.68612,
2016-12-05,-31.897223,115.68612,0.45064706
2016-12-06,-31.897223,115.68612,0.4028264
2016-12-07,-31.897223,115.68612,
2016-12-08,-31.897223,115.68612,
2016-12-09,-31.897223,115.68612,0.46327224
2016-12-10,-31.897223,115.68612,0.3658179
2016-12-11,-31.897223,115.68612,
2016-12-12,-31.897223,115.68612,
2016-12-13,-31.897223,115.68612,
2016-12-14,-31.897223,115.68612,0.6410315
2016-12-15,-31.897223,115.68612,
2016-12-16,-31.897223,115.68612,
2016-12-17,-31.897223,115.68612,0.46598738
2016-12-18,-31.897223,115.68612,0.40167898
2016-12-19,-31.897223,115.68612,
2016-12-20,-31.897223,115.68612,
2016-12-21,-31.897223,115.68612,0.45428288
2016-12-22,-31.897223,115.68612,
2016-12-23,-31.897223,115.68612,
2016-12-24,-31.897223,115.68612,
2016-12-25,-31.897223,115.68612,1.1151956
2016-12-26,-31.897223,115.68612,
2016-12-27,-31.897223,115.68612,
2016-12-28,-31.897223,115.68612,
2016-12-29,-31.897223,115.68612,0.9843022
2016-12-30,-31.897223,115.68612,
2016-12-31,-31.897223,115.68612,
2017-01-01,-31.897223,115.68612,0.70614904
2017-01-02,-31.897223,115.68612,0.76009786
2017-01-03,-31.897223,115.68612,
2017-01-04,-31.897223,115.68612,
2017-01-05,-31.897223,115.68612,
2017-01-06,-31.897223,115.68612,
2017-01-07,-31.897223,115.68612,
2017-01-08,-31.897223,115.68612,
2017-01-09,-31.897223,115.68612,0.8100019
2017-01-10,-31.897223,115.68612,0.8189162
2017-01-11,-31.897223,115.68612,
2017-01-12,-31.897223,115.68612,
2017-01-13,-31.897223,115.68612,0.6360697
2017-01-14,-31.897223,115.68612,0.69654244
2017-01-15,-31.897223,115.68612,
2017-01-16,-31.897223,115.68612,
2017-01-17,-31.897223,115.68612,0.85480905
2017-01-18,-31.897223,115.68612,1.0068057
2017-01-19,-31.897223,115.68612,
2017-01-20,-31.897223,115.68612,
2017-01-21,-31.897223,115.68612,0.82526326
2017-01-22,-31.897223,115.68612,
2017-01-23,-31.897223,115.68612,
2017-01-24,-31.897223,115.68612,0.828837
2017-01-25,-31.897223,115.68612,0.669166
2017-01-26,-31.897223,115.68612,
2017-01-27,-31.897223,115.68612,
2017-01-28,-31.897223,115.68612,0.4249146
2017-01-29,-31.897223,115.68612,
2017-01-30,-31.897223,115.68612,
2017-01-31,-31.897223,115.68612,
2017-02-01,-31.897223,115.68612,0.40941802
2017-02-02,-31.897223,115.68612,
2017-02-03,-31.897223,115.68612,
2017-02-04,-31.897223,115.68612,
2017-02-05,-31.897223,115.68612,0.66734976
2017-02-06,-31.897223,115.68612,0.80022293
2017-02-07,-31.897223,115.68612,
2017-02-08,-31.897223,115.68612,
2017-02-09,-31.897223,115.68612,
2017-02-10,-31.897223,115.68612,
2017-02-11,-31.897223,115.68612,
2017-02-12,-31.897223,115.68612,
2017-02-13,-31.897223,115.68612,
2017-02-14,-31.897223,115.68612,
2017-02-15,-31.897223,115.68612,
2017-02-16,-31.897223,115.68612,0.59082925
2017-02-17,-31.897223,115.68612,1.8707471
2017-02-18,-31.897223,115.68612,
2017-02-19,-31.897223,115.68612,
2017-02-20,-31.897223,115.68612,
2017-02-21,-31.897223,115.68612,
2017-02-22,-31.897223,115.68612,
2017-02-23,-31.897223,115.68612,
2017-02-24,-31.897223,115.68612,4.9886847
2017-02-25,-31.897223,115.68612,5.5226393
2017-02-26,-31.897223,115.68612,
2017-02-27,-31.897223,115.68612,
2017-02-28,-31.897223,115.68612,6.1652117
2017-03-01,-31.897223,115.68612,6.9749794
2017-03-02,-31.897223,115.68612,
2017-03-03,-31.897223,115.68612,
2017-03-04,-31.897223,115.68612,1.453488
2017-03-05,-31.897223,115.68612,2.4273534
2017-03-06,-31.897223,115.68612,
2017-03-07,-31.897223,115.68612,
2017-03-08,-31.897223,115.68612,0.46188322
2017-03-09,-31.897223,115.68612,
2017-03-10,-31.897223,115.68612,
2017-03-11,-31.897223,115.68612,
2017-03-12,-31.897223,115.68612,
2017-03-13,-31.897223,115.68612,
2017-03-14,-31.897223,115.68612,
2017-03-15,-31.897223,115.68612,
2017-03-16,-31.897223,115.68612,2.8427956
2017-03-17,-31.897223,115.68612,
2017-03-18,-31.897223,115.68612,
2017-03-19,-31.897223,115.68612,1.8435035
2017-03-20,-31.897223,115.68612,1.6449533
2017-03-21,-31.897223,115.68612,
2017-03-22,-31.897223,115.68612,
