time,latitude,longitude,CHL
2016-04-25,-32.358334,115.60278,
2016-04-26,-32.358334,115.60278,
2016-04-27,-32.358334,115.60278,
2016-04-28,-32.358334,115.60278,
2016-04-29,-32.358334,115.60278,
2016-04-30,-32.358334,115.60278,
2016-05-01,-32.358334,115.60278,
2016-05-02,-32.358334,115.60278,
2016-05-03,-32.358334,115.60278,
2016-05-04,-32.358334,115.60278,
2016-05-05,-32.358334,115.60278,
2016-05-06,-32.358334,115.60278,
2016-05-07,-32.358334,115.60278,
2016-05-08,-32.358334,115.60278,
2016-05-09,-32.358334,115.60278,
2016-05-10,-32.358334,115.60278,
2016-05-11,-32.358334,115.60278,0.37974313
2016-05-12,-32.358334,115.60278,0.27160242
2016-05-13,-32.358334,115.60278,
2016-05-14,-32.358334,115.60278,
2016-05-15,-32.358334,115.60278,0.38311353
2016-05-16,-32.358334,115.60278,0.36330304
2016-05-17,-32.358334,115.60278,
2016-05-18,-32.358334,115.60278,0.15509894
2016-05-19,-32.358334,115.60278,
2016-05-20,-32.358334,115.60278,0.33811247
2016-05-21,-32.358334,115.60278,
2016-05-22,-32.358334,115.60278,
2016-05-23,-32.358334,115.60278,0.9985356
2016-05-24,-32.358334,115.60278,
2016-05-25,-32.358334,115.60278,
2016-05-26,-32.358334,115.60278,
2016-05-27,-32.358334,115.60278,
2016-05-28,-32.358334,115.60278,
2016-05-29,-32.358334,115.60278,
2016-05-30,-32.358334,115.60278,1.1665529
2016-05-31,-32.358334,115.60278,1.0816382
2016-06-01,-32.358334,115.60278,
2016-06-02,-32.358334,115.60278,
2016-06-03,-32.358334,115.60278,0.8062012
2016-06-04,-32.358334,115.60278,
2016-06-05,-32.358334,115.60278,
2016-06-06,-32.358334,115.60278,
2016-06-07,-32.358334,115.60278,
2016-06-08,-32.358334,115.60278,2.4281456
2016-06-09,-32.358334,115.60278,
2016-06-10,-32.358334,115.60278,
2016-06-11,-32.358334,115.60278,
2016-06-12,-32.358334,115.60278,1.674901
2016-06-13,-32.358334,115.60278,
2016-06-14,-32.358334,115.60278,0.96019334
2016-06-15,-32.358334,115.60278,
2016-06-16,-32.358334,115.60278,
2016-06-17,-32.358334,115.60278,
2016-06-18,-32.358334,115.60278,1.025272
2016-06-19,-32.358334,115.60278,
2016-06-20,-32.358334,115.60278,
2016-06-21,-32.358334,115.60278,
2016-06-22,-32.358334,115.60278,
2016-06-23,-32.358334,115.60278,
2016-06-24,-32.358334,115.60278,
2016-06-25,-32.358334,115.60278,
2016-06-26,-32.358334,115.60278,0.30303955
2016-06-27,-32.358334,115.60278,
2016-06-28,-32.358334,115.60278,
2016-06-29,-32.358334,115.60278,
2016-06-30,-32.358334,115.60278,0.57551175
2016-07-01,-32.358334,115.60278,0.5786868
2016-07-02,-32.358334,115.60278,
2016-07-03,-32.358334,115.60278,
2016-07-04,-32.358334,115.60278,
2016-07-05,-32.358334,115.60278,
2016-07-06,-32.358334,115.60278,
2016-07-07,-32.358334,115.60278,
2016-07-08,-32.358334,115.60278,0.44185743
2016-07-09,-32.358334,115.60278,
2016-07-10,-32.358334,115.60278,
2016-07-11,-32.358334,115.60278,0.75961685
2016-07-12,-32.358334,115.60278,
2016-07-13,-32.358334,115.60278,1.509077
2016-07-14,-32.358334,115.60278,
2016-07-15,-32.358334,115.60278,
2016-07-16,-32.358334,115.60278,
2016-07-17,-32.358334,115.60278,
2016-07-18,-32.358334,115.60278,
2016-07-19,-32.358334,115.60278,0.19669834
2016-07-20,-32.358334,115.60278,0.5096413
2016-07-21,-32.358334,115.60278,
2016-07-22,-32.358334,115.60278,
2016-07-23,-32.358334,115.60278,
2016-07-24,-32.358334,115.60278,
2016-07-25,-32.358334,115.60278,
2016-07-26,-32.358334,115.60278,
2016-07-27,-32.358334,115.60278,
2016-07-28,-32.358334,115.60278,
2016-07-29,-32.358334,115.60278,
2016-07-30,-32.358334,115.60278,
2016-07-31,-32.358334,115.60278,
2016-08-01,-32.358334,115.60278,2.172586
2016-08-02,-32.358334,115.60278,
2016-08-03,-32.358334,115.60278,
2016-08-04,-32.358334,115.60278,
2016-08-05,-32.358334,115.60278,
2016-08-06,-32.358334,115.60278,
2016-08-07,-32.358334,115.60278,0.7814971
2016-08-08,-32.358334,115.60278,
2016-08-09,-32.358334,115.60278,
2016-08-10,-32.358334,115.60278,
2016-08-11,-32.358334,115.60278,
2016-08-12,-32.358334,115.60278,0.66080165
2016-08-13,-32.358334,115.60278,
2016-08-14,-32.358334,115.60278,
2016-08-15,-32.358334,115.60278,
2016-08-16,-32.358334,115.60278,
2016-08-17,-32.358334,115.60278,
2016-08-18,-32.358334,115.60278,
2016-08-19,-32.358334,115.60278,
2016-08-20,-32.358334,115.60278,
2016-08-21,-32.358334,115.60278,
2016-08-22,-32.358334,115.60278,
2016-08-23,-32.358334,115.60278,0.6539279
2016-08-24,-32.358334,115.60278,0.605343
2016-08-25,-32.358334,115.60278,
2016-08-26,-32.358334,115.60278,
2016-08-27,-32.358334,115.60278,0.18651669
2016-08-28,-32.358334,115.60278,
2016-08-29,-32.358334,115.60278,
2016-08-30,-32.358334,115.60278,
2016-08-31,-32.358334,115.60278,
2016-09-01,-32.358334,115.60278,1.6809571
2016-09-02,-32.358334,115.60278,
2016-09-03,-32.358334,115.60278,0.88710624
2016-09-04,-32.358334,115.60278,0.9409621
2016-09-05,-32.358334,115.60278,
2016-09-06,-32.358334,115.60278,
2016-09-07,-32.358334,115.60278,
2016-09-08,-32.358334,115.60278,1.3201684
2016-09-09,-32.358334,115.60278,
2016-09-10,-32.358334,115.60278,
2016-09-11,-32.358334,115.60278,
2016-09-12,-32.358334,115.60278,
2016-09-13,-32.358334,115.60278,
2016-09-14,-32.358334,115.60278,
2016-09-15,-32.358334,115.60278,
2016-09-16,-32.358334,115.60278,0.47280952
2016-09-17,-32.358334,115.60278,
2016-09-18,-32.358334,115.60278,
2016-09-19,-32.358334,115.60278,
2016-09-20,-32.358334,115.60278,
2016-09-21,-32.358334,115.60278,
2016-09-22,-32.358334,115.60278,
2016-09-23,-32.358334,115.60278,
2016-09-24,-32.358334,115.60278,0.3911927
2016-09-25,-32.358334,115.60278,
2016-09-26,-32.358334,115.60278,
2016-09-27,-32.358334,115.60278,
2016-09-28,-32.358334,115.60278,
2016-09-29,-32.358334,115.60278,
2016-09-30,-32.358334,115.60278,
2016-10-01,-32.358334,115.60278,
2016-10-02,-32.358334,115.60278,1.4168339
2016-10-03,-32.358334,115.60278,
2016-10-04,-32.358334,115.60278,
2016-10-05,-32.358334,115.60278,0.30905998
2016-10-06,-32.358334,115.60278,
2016-10-07,-32.358334,115.60278,
2016-10-08,-32.358334,115.60278,
2016-10-09,-32.358334,115.60278,
2016-10-10,-32.358334,115.60278,
2016-10-11,-32.358334,115.60278,
2016-10-12,-32.358334,115.60278,0.24869591
2016-10-13,-32.358334,115.60278,
2016-10-14,-32.358334,115.60278,
2016-10-15,-32.358334,115.60278,
2016-10-16,-32.358334,115.60278,
2016-10-17,-32.358334,115.60278,
2016-10-18,-32.358334,115.60278,
2016-10-19,-32.358334,115.60278,
2016-10-20,-32.358334,115.60278,0.3276884
2016-10-21,-32.358334,115.60278,0.32228532
2016-10-22,-32.358334,115.60278,
2016-10-23,-32.358334,115.60278,
2016-10-24,-32.358334,115.60278,0.5120462
2016-10-25,-32.358334,115.60278,
2016-10-26,-32.358334,115.60278,
2016-10-27,-32.358334,115.60278,
2016-10-28,-32.358334,115.60278,0.26344952
2016-10-29,-32.358334,115.60278,
2016-10-30,-32.358334,115.60278,
2016-10-31,-32.358334,115.60278,0.2605442
2016-11-01,-32.358334,115.60278,0.35505313
2016-11-02,-32.358334,115.60278,
2016-11-03,-32.358334,115.60278,
2016-11-04,-32.358334,115.60278,
2016-11-05,-32.358334,115.60278,0.32652172
2016-11-06,-32.358334,115.60278,
2016-11-07,-32.358334,115.60278,
2016-11-08,-32.358334,115.60278,0.29685155
2016-11-09,-32.358334,115.60278,
2016-11-10,-32.358334,115.60278,
2016-11-11,-32.358334,115.60278,
2016-11-12,-32.358334,115.60278,
2016-11-13,-32.358334,115.60278,0.21729062
2016-11-14,-32.358334,115.60278,
2016-11-15,-32.358334,115.60278,
2016-11-16,-32.358334,115.60278,
2016-11-17,-32.358334,115.60278,0.4214044
2016-11-18,-32.358334,115.60278,
2016-11-19,-32.358334,115.60278,
2016-11-20,-32.358334,115.60278,
2016-11-21,-32.358334,115.60278,
2016-11-22,-32.358334,115.60278,
2016-11-23,-32.358334,115.60278,
2016-11-24,-32.358334,115.60278,0.19969161
2016-11-25,-32.358334,115.60278,0.20850764
2016-11-26,-32.358334,115.60278,
2016-11-27,-32.358334,115.60278,
2016-11-28,-32.358334,115.60278,0.25160825
